Frame Number, Sedan, SUV, Total
290, 1, 4, 5
291, 1, 4, 5
292, 2, 3, 5
293, 1, 4, 5
294, 1, 4, 5
295, 1, 4, 5
296, 3, 3, 6
297, 1, 4, 5
298, 1, 4, 5
299, 1, 4, 5
300, 1, 3, 4
301, 3, 2, 5
302, 2, 2, 4
303, 2, 2, 4
304, 3, 1, 4
305, 2, 3, 5
306, 2, 2, 4
307, 1, 3, 4
308, 2, 2, 4
309, 2, 2, 4
310, 2, 2, 4
311, 3, 1, 4
312, 3, 1, 4
313, 3, 1, 4
314, 3, 1, 4
315, 2, 2, 4
316, 3, 1, 4
317, 3, 1, 4
318, 2, 2, 4
319, 2, 2, 4
320, 3, 1, 4
321, 2, 2, 4
322, 2, 2, 4
323, 2, 2, 4
324, 2, 2, 4
325, 2, 2, 4
326, 2, 2, 4
327, 2, 2, 4
328, 2, 2, 4
329, 2, 2, 4
330, 1, 3, 4
331, 2, 2, 4
332, 2, 2, 4
333, 2, 2, 4
334, 2, 1, 3
335, 1, 2, 3
336, 1, 2, 3
337, 2, 1, 3
338, 2, 2, 4
339, 2, 2, 4
340, 2, 2, 4
341, 2, 2, 4
342, 1, 3, 4
343, 2, 2, 4
344, 2, 2, 4
345, 2, 2, 4
346, 1, 3, 4
347, 2, 2, 4
348, 1, 3, 4
349, 1, 3, 4
350, 1, 3, 4
351, 1, 3, 4
352, 1, 3, 4
353, 1, 3, 4
354, 2, 2, 4
355, 1, 3, 4
356, 1, 4, 5
357, 1, 4, 5
358, 1, 4, 5
359, 1, 4, 5
360, 2, 3, 5
361, 2, 3, 5
362, 2, 3, 5
363, 2, 3, 5
364, 2, 3, 5
365, 2, 3, 5
366, 1, 4, 5
367, 1, 4, 5
368, 1, 4, 5
369, 1, 4, 5
370, 1, 4, 5
371, 1, 5, 6
372, 1, 5, 6
373, 1, 5, 6
374, 1, 5, 6
375, 2, 4, 6
376, 1, 7, 8
377, 2, 4, 6
378, 2, 3, 5
379, 2, 3, 5
380, 3, 2, 5
381, 3, 1, 4
382, 2, 2, 4
383, 2, 2, 4
384, 1, 3, 4
385, 2, 2, 4
386, 1, 3, 4
387, 1, 3, 4
388, 1, 3, 4
389, 2, 2, 4
390, 0, 4, 4
